Date,Open,High,Low,Close,Volume
2023-01-01,3950,3960,3940,3955,1200000
2023-01-02,3960,3975,3950,3965,1250000
2023-01-03,3945,3960,3930,3940,1180000
2023-01-04,3975,3985,3960,3970,1220000
2023-01-05,3980,3990,3970,3985,1195000
2023-01-06,3990,4000,3980,3995,1210000
2023-01-07,4000,4010,3990,4005,1230000
2023-01-08,4020,4030,4000,4015,1260000
2023-01-09,4010,4025,3995,4020,1240000
2023-01-10,4035,4045,4020,4030,1275000
2023-01-11,4050,4060,4030,4055,1280000
2023-01-12,4045,4055,4025,4035,1265000
2023-01-13,4030,4040,4010,4025,1235000
2023-01-14,4040,4050,4020,4035,1245000
2023-01-15,4060,4070,4040,4065,1290000
2023-01-16,4075,4080,4060,4070,1300000
2023-01-17,4080,4090,4070,4085,1310000
2023-01-18,4095,4100,4080,4090,1320000
2023-01-19,4100,4110,4090,4105,1330000
2023-01-20,4115,4120,4100,4110,1345000
